id,name,alias,iata,icao,callsign,country,active
249,Alpha Jet International,\N,,AJW,ALPHAJET,United States,N
250,Air Japan,\N,NQ,AJX,AIR JAPAN,Japan,Y
251,Ajet,\N,,AJY,AYJET,Cyprus,N
252,Air Korea Co. Ltd.,\N,,AKA,,Republic of Korea,Y
253,Air Livonia,\N,,LIV,LIVONIA,Estonia,N
254,Air BC,\N,,ABL,AIRCOACH,Canada,N
255,Air Fret Senegal,\N,,ABN, ,Senegal,N
256,Air Jamahiriya Company,\N,,LJA,AIR JAMAHIRIYA,Libya,N
257,Aktjubavia,\N,,AKB,KARAB,Kazakhstan,N
258,Arca Aerovias Colombianas Ltda.,\N,,AKC,ARCA,Colombia,N
259,Anikay Air Company,\N,,AKF,ANIKAY,Kyrgyzstan,N
260,Akhal,\N,,AKH,AKHAL,Turkmenistan,N
261,Aeromilenio,\N,,MNI,AEROMIL,Mexico,N
262,Aklak Air,\N,,AKK,AKLAK,Canada,N
263,Air Kiribati,\N,4A,AKL,,Kiribati,Y
264,Alkan Air,\N,,AKN,ALKAN AIR,Canada,N
265,Angkor Airways,\N,,AKW,ANGKORWAYS,Cambodia,N
266,Air Nippon Network Co. Ltd.,\N,EH,AKX,ALFA WING,Japan,N
267,AK Navigator LLC,\N,,AKZ,ABSOLUTE,Kazakhstan,N
268,Aero Albatros,\N,,ALB,ALBATROS,Mexico,N
269,Albion Aviation,\N,,ALD,ALBION,United Kingdom,N
270,Aeroalas Colombia,\N,,ALE,AEROALAS,Colombia,N
271,Allied Command Europe (Mobile Force),\N,,ALF,ACEFORCE,Belgium,N
272,Aerotaxis Albatros,\N,,BTS,AEROLINEAS ALBATROS,Mexico,N
273,American Flyers,\N,,FYS,AMERICAN FLYERS,United States,N
274,Aero Coach Aviation,\N,,DFA,AERO COACH,United States,N
275,Atlantic Southeast Airlines,\N,,CAA,Chandler,United States,N
276,ACM Air Charter,\N,,BVR,BAVARIAN,Germany,N
277,Air Logistics,\N,,ALG,AIRLOG,United States,N
278,Aerovallarta,\N,,ALL,VALLARTA,Mexico,N
279,Air ALM,\N,,ALM,ANTILLEAN,Netherlands Antilles,N
280,Air Lincoln,\N,,ALN,CHICAGO LINCOLN,United States,N
281,America West Airlines,\N,HP,AWE,CACTUS,United States,Y
282,Air Wisconsin,\N,ZW,AWI,AIR WISCONSIN,United States,Y
283,Aerotransporte de Carga Union,\N,,TNO,AEROUNION,Mexico,N
284,Aero Taxis Cessna,\N,,TND,TAXIS CESSNA,Mexico,N
285,Arizona Express Airlines,\N,,TMP,TEMPE,United States,N
286,Tatarstan Airlines,\N,U9,TAK,TATARSTAN,Russia,Y
287,Allegheny Commuter Airlines,\N,,ALO,ALLEGHENY,United States,Y
288,Alpliner AG,\N,,ALP,ALPINER,Switzerland,N
289,Altair Aviation (1986),\N,,ALQ,ALTAIR,Canada,N
290,Air Luxor STP,\N,,ALU,LUXORJET,Sao Tome and Principe,N
291,Alas de Venezuela,\N,,ALV,ALVEN,Venezuela,N
292,Alas Nacionales,\N,,ALW, S.A.,ALNACIONAL,N
293,Alyeska Air Service,\N,,ALY,ALYESKA,United States,N
294,Alta Flights (Charters) Ltd.,\N,,ALZ, ,Canada,N
295,Air Sunshine,\N,,RSI,AIR SUNSHINE,United States,Y
296,ATMA,\N,,AMA,ADIK,Kazakhstan,N
297,Aerolineas Medellin,\N,,AMD,AEROLINEAS MEDELLIN,Colombia,N
298,Ameriflight,\N,,AMF,AMFLIGHT,United States,N
299,Air Libert,\N,VD,,,France,Y
300,Air Lithuania,\N,TT,KLA,KAUNAS,Lithuania,N
301,Air Minas Linhas A,\N,,AMG,AIR MINAS,Brazil,N
302,Alan Mann Helicopters Ltd.,\N,,AMH,MANN,United Kingdom,N
303,Air Maldives,\N,,AMI,AIR MALDIVES,Maldives,N
304,Aviation Amos,\N,,AMJ,AVIATION AMOS,Canada,N
305,Amerer Air,\N,,AMK,AMER AIR,Austria,N
306,Air Malawi,\N,QM,AML,MALAWI,Malawi,Y
307,Aeroputul International Marculesti,\N,,AMM,AEROM,Moldova,N
308,Air Montenegro,\N,,AMN,MONTENEGRO,Montenegro,N
309,Air Montreal (Air Holdings Inc.),\N,,AMO,AIR MONTREAL,Canada,N
310,Aero Transporte S.A. (ATSA),\N,,AMP,ATSA,Peru,N
311,Aeromedicare Ltd.,\N,,AMQ,LIFELINE,United Kingdom,N
312,Air Sicilia,\N,BM,,,Italy,Y
313,Air Specialties Corporation,\N,,AMR,AIR AM,United States,N
314,Air Muskoka,\N,,AMS,AIR MUSKOKA,Canada,N
315,ATA Airlines,\N,,AMT,AMTRAN,United States,Y
316,Air Macau,\N,NX,AMU,AIR MACAO,Macao,Y
317,AMC Airlines,\N,,AMV,,Egypt,Y
318,Air Midwest,\N,ZV,AMW,AIR MIDWEST,United States,N
319,Air Seychelles,\N,HM,SEY,SEYCHELLES,Seychelles,Y
320,Air Sofia,\N,,SFB,AIR SOFIA,Bulgaria,N
321,AeroMéxico,\N,AM,AMX,AEROMEXICO,Mexico,Y
322,Air Ambar,\N,,AMY,AIR AMBAR,Dominican Republic,N
323,Amiya Airline,\N,,AMZ,AMIYA AIR,Nigeria,N
324,All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y
325,Air Navigation And Trading Co. Ltd.,\N,,ANB,AIR NAV,United Kingdom,N
326,Anglo Cargo,\N,,ANC,ANGLO,United Kingdom,N
327,Air Nostrum,\N,YW,ANE,AIR NOSTRUM,Spain,Y
328,Air Niugini,\N,PX,ANG,NUIGINI,Papua New Guinea,Y
329,Air Arabia,\N,G9,ABY,ARABIA,United Arab Emirates,Y
330,Air Canada,\N,AC,ACA,AIR CANADA,Canada,Y
331,Airport Bratsk,\N,,BRP,AEROBRA,Russia,N
332,Air Wings,\N,,BSB,ARBAS,Moldova,N
333,Air Baltic,\N,BT,BTI,AIRBALTIC,Latvia,Y
334,Alajnihah for Air Transport,\N,,ANH,ALAJNIHAH,Libya,N
335,Air Atlantic (Nig) Limited,\N,,ANI,NIGALANTIC,Nigeria,N
336,Air Nippon,\N,EL,ANK,ANK AIR,Japan,Y
337,Antares Airtransport,\N,,ANM, Maintenance & Service GmbH,ANTARES,N
338,Airnorth,\N,TL,ANO,TOPEND,Australia,Y
339,Aerol,\N,,ANQ,ANTIOQUIA,Colombia,N
340,Andes Lineas Aereas,\N,,ANS,AEROANDES,Argentina,N
341,Air North Charter - Canada,\N,4N,ANT,AIR NORTH,Canada,Y
342,Air Nevada,\N,,ANV,AIR NEVADA,United States,N
343,AOM French Airlines,\N,IW,AOM,French Lines,France,N
344,Aviacion Del Noroeste,\N,,ANW, S.A. de C.V.,AVINOR,N
345,Air New Zealand,\N,NZ,ANZ,NEW ZEALAND,New Zealand,Y
346,Avia Jaynar,\N,,SAP,TOBOL,Kazakhstan,N
347,Aero Servicios Empresariales,\N,,EMS,SERVIEMPRESARIAL,Mexico,N
348,Alcon Servicios Aereos,\N,,AOA, S.A. de C.V.,ALCON,N
349,AVCOM,\N,J6,AOC,AERO AVCOM,Russia,N
350,Aero Vodochody,\N,,AOD,AERO CZECH,Czech Republic,N
351,Air One Executive,\N,,AOE, ,Italy,N
352,Atair Pty Ltd.,\N,,AOF,ATAIR,South Africa,N
353,Aero VIP,\N,2D,AOG,AVIP,Argentina,N
354,Aeromundo Ejecutivo,\N,,MUN,AEROMUNDO,Mexico,N
355,Aerolinea Muri,\N,,MUR,MURI,Mexico,N
356,Astoria,\N,,AOI, Inc.,ASTORIA,N
357,Aero Rent JSC,\N,,NRO,AEROMASTER,Russia,N
358,Aeronord-Grup,\N,,NRP,AERONORD,Moldova,N
359,Aeroatlantico Colombia,\N,,AOK,,Colombia,N
360,Angkor Airlines,\N,,AOL,ANGKOR AIR,Cambodia,N
361,Aero Entreprise,\N,,AON,AERO ENTERPRISE,France,N
362,As,\N,,AOO, Opened Joint Stock Company,COMPANY AS,N
363,Aeropiloto,\N,,AOP,AEROPILOTO,Portugal,N
364,Aeroenlaces Nacionales,\N,,VIV,AEROENLACES,Mexico,N
365,Aerovis Airlines,\N,,VIZ,AEROVIZ,Ukraine,N
366,Avjet International (FZE),\N,,VJE,,United Arab Emirates,N
367,Aerovista Gulf Express,\N,,VGF,VISTA GULF,United Arab Emirates,N
368,Air Vegas,\N,6V,VGA,AIR VEGAS,United States,N
369,Almaver,\N,,VER,ALMAVER,Mexico,N
370,Afro International Ent. Limited,\N,,AOR,INTER-AFRO,Nigeria,N
371,Alitalia Express,\N,XM,SMX,ALIEXPRESS,Italy,Y
372,Asia Overnight Express,\N,OE,AOT,ASIA OVERNIGHT,Philippines,N
373,Air Tractor,\N,,AOU,AIR TRACTOR,Croatia,N
374,Aero Vision,\N,,AOV,AEROVISION,France,N
375,Aerotaxi Del Valle,\N,,AOX,AEROVALLE,Colombia,N
376,Air Park Aviation Ltd.,\N,,APA,CAN-AM,Canada,N
377,Airpac Airlines,\N,,APC, Inc.,AIRPAC,N
378,Aeroservicios Monterrey,\N,,SVM,SERVIMONTE,Mexico,N
379,Amapola Flyg AB,\N,,APF,AMAPOLA,Sweden,N
380,Air People International,\N,,APG,AIR PEOPLE,Thailand,N
381,Alpha Aviation,\N,,APH, Inc.,AIRFLIGHT,N
382,ASA Pesada,\N,,API, Lda.,ASA PESADA,N
383,Air Print,\N,,APJ, S.A.,AIR PRINT,N
384,Atlantic Airlines,\N,,BJK,BLACKJACK,United States,N
385,Aerotransporte Petrolero,\N,,PET,AEROPETRO,Colombia,N
386,Aero Flight,\N,GV,ARF,Aero Fox,Germany,Y
387,ACM Aviation,\N,,BJT,BAY JET,United States,N
388,Aircompany Barcol,\N,,BKL,BARCOL,Russia,N
389,All Charter Limited,\N,,BLA,ALL CHARTER,United Kingdom,N
390,Appalachian Flying Service,\N,,APL, Inc.,APPALACHIAN,N
391,Airpac,\N,,APM, Inc.,ALASKA PACIFIC,N
392,Aeropro,\N,,APO,AEROPRO,Canada,N
393,Aerolineas Pacifico Atlantico,\N,,APP, S.A. (Apair),AEROPERLAS,N
394,Aspen Aviation,\N,,APQ,ASPEN BASE,United States,N
395,Aeropuma,\N,,APU, S.A.,AEROPUMA,N
396,Air Plan International,\N,,APV,AIR PLAN,Democratic Republic of the Congo,N
397,Arrow Air,\N,JW,APW,BIG A,United States,Y
398,Apex Air Cargo,\N,,APX,PARCEL EXPRESS,United States,N
399,APA Internacional,\N,,APY,APA INTERNACIONAL,Dominican Republic,N
400,Aeroatlas,\N,,AQA, S.A.,ATCO,N
401,Aquila Air Ltd.,\N,,AQL,AQUILA,Canada,N
402,Air Queensland,\N,,AQN,BUSHAIR,Australia,N
403,Aluminum Company Of America,\N,,AQO,ALCOA SHUTTLE,United States,N
404,Aviones de Renta de Quintana Roo,\N,,AQT, S.A. de C.V.,AVIOQUINTANA,N
